Name,City,Street_address,Salary,Application_date,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
Robert Fitzgerald,Greenmouth,349 Alexander Coves Apt. 799,36964.79,2018-08-03,67,male,2,own,,little,1169,6,radio/TV,good
Daniel Kim,North Jessica,349 Jesse Park Suite 888,87884.39,2018-08-07,22,female,2,own,little,moderate,5951,48,radio/TV,bad
Frederick Jordan,Lake Erika,389 Graham Drive Suite 973,41157.73,2018-05-14,49,male,1,own,little,,2096,12,education,good
Tara Rojas,East Jessica,01579 Ramirez Drives Apt. 587,36214.8,2018-04-30,45,male,2,free,little,little,7882,42,furniture/equipment,good
Gail Donovan,Randyport,467 Christopher Well,41353.49,2018-05-27,53,male,2,free,little,little,4870,24,car,bad
Kenneth Davis,East David,9463 Brett Mission,54372.74,2018-12-08,35,male,1,free,,,9055,36,education,good
Chris Weaver,Garymouth,5353 Tina Knolls Suite 761,86617.65,2018-06-08,53,male,2,own,quite rich,,2835,24,furniture/equipment,good
Karen Cooper PhD,Smithchester,07459 Simmons Place Suite 385,77441.96,2018-08-02,35,male,3,rent,little,moderate,6948,36,car,good
Mr. Justin Taylor PhD,Houseside,953 Stephanie Overpass,71561.06,2018-02-06,61,male,1,own,rich,,3059,12,radio/TV,good
Andrea Valenzuela,Morrisonberg,86198 Jonathan Harbor,89391.16,2018-08-05,28,male,3,own,little,moderate,5234,30,car,bad
Barbara Edwards,North Kevinbury,99891 Hill Flats,99887.81,2018-08-14,25,female,2,rent,little,moderate,1295,12,car,bad
Jessica Patterson,Woodsmouth,23639 Sheri Plain Apt. 867,35723.82,2018-11-29,24,female,2,rent,little,little,4308,48,business,bad
Heather Hunter,Lake Susanshire,71594 Ramos Motorway,43011.92,2018-05-15,22,female,2,own,little,moderate,1567,12,radio/TV,good
Jeremy Davenport,New Gloriaton,40338 Eugene Center,49571.21,2018-12-24,60,male,1,own,little,little,1199,24,car,bad
Michael Perez,New Amanda,0899 Berry Village,30459.87,2018-10-28,28,female,2,rent,little,little,1403,15,car,good
Lisa Massey,Karenberg,634 Ortiz Walk,67818.33,2018-06-01,32,female,1,own,moderate,little,1282,24,radio/TV,bad
Lauren Morris,Hudsonberg,52061 Smith Lock,51162.62,2018-10-28,53,male,2,own,,,2424,24,radio/TV,good
Jonathan Martin,Howellburgh,78190 Sarah Fort,80626.12,2018-04-03,25,male,2,own,,little,8072,30,business,good
Timothy Fitzgerald,Port Sergio,39392 Hall Parks Apt. 011,78507.99,2018-05-26,44,female,3,free,little,moderate,12579,24,car,bad
Rodney Hernandez,Ashleestad,46511 Le Wells Suite 929,33750.25,2018-02-26,31,male,2,own,quite rich,,3430,24,radio/TV,good
Richard Meyer,Harperfurt,5472 George Creek Suite 403,61580.73,2018-11-13,48,male,2,own,little,,2134,9,car,good
Julia Sharp,West Reneechester,26639 Hancock Road Apt. 415,39189.48,2018-03-05,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
Michelle Ryan,Michaelshire,5965 Keith Gateway,60105.7,2018-06-17,48,male,1,rent,little,little,2241,10,car,good
Courtney Martin,Nicholasmouth,3513 Marissa Divide Suite 183,87306.12,2018-02-13,44,male,2,own,moderate,moderate,1804,12,car,good
Jeremy Cox,Patrickchester,1076 Chung Cove,98296.25,2018-08-11,26,male,2,own,,,2069,10,furniture/equipment,good
William Jimenez,New Mariaburgh,049 Caitlin Causeway,29117.35,2018-01-08,36,male,1,own,little,little,1374,6,furniture/equipment,good
Derrick Brennan,Charleschester,98749 Chandler Shore Apt. 187,50675.11,2018-09-27,39,male,1,own,little,,426,6,radio/TV,good
Alexandra Walsh,Richardsonmouth,9453 Randy Oval Apt. 680,83799.19,2018-03-09,42,female,2,rent,rich,rich,409,12,radio/TV,good
Jonathan Harding Jr.,South Brittanychester,32189 Mary Green,81102.84,2018-01-13,34,male,2,own,little,moderate,2415,7,radio/TV,good
Laura Fernandez,Lake Jamesberg,62955 Newman Spurs,69850.24,2018-10-29,63,male,2,own,little,little,6836,60,business,bad
Taylor Sullivan,Patriciaview,07165 Miranda Square Suite 809,72076.55,2018-05-07,36,male,2,own,rich,moderate,1913,18,business,good
Shannon Valdez,Jennyview,5560 Molina Overpass,62164.78,2018-09-14,27,male,2,own,little,little,4020,24,furniture/equipment,good
Jessica Lane,West Juliebury,78046 Anna Plain Suite 374,68963.28,2018-06-06,30,male,2,own,moderate,moderate,5866,18,car,good
Nicholas Lewis,Aliciafort,4849 David Lodge,59870.09,2018-11-18,57,male,1,rent,,,1264,12,business,good
Faith Johnson,Martinport,829 Evans Lock,42630.31,2018-07-03,33,female,3,own,little,rich,1474,12,furniture/equipment,good
Raymond York,Joshuafurt,46138 Waters Ramp Apt. 739,97624.26,2018-12-26,25,male,1,own,little,moderate,4746,45,radio/TV,bad
Kevin Butler,East Nicholasmouth,320 Courtney Street Suite 331,52542.77,2018-08-18,31,male,2,free,little,,6110,48,education,good
